Book Title,Price (INR)
A Light in the Attic,₹5177.0
Tipping the Velvet,₹5374.0
Soumission,₹5010.0
Sharp Objects,₹4782.0
Sapiens: A Brief History of Humankind,₹5423.0
The Requiem Red,₹2265.0
The Dirty Little Secrets of Getting Your Dream Job,₹3334.0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",₹1793.0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,₹2260.0
The Black Maria,₹5215.0
"Starving Hearts (Triangular Trade Trilogy, #1)",₹1399.0
Shakespeare's Sonnets,₹2066.0
Set Me Free,₹1746.0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),₹5229.0
Rip it Up and Start Again,₹3502.0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",₹5725.0
Olio,₹2388.0
Mesaerion: The Best Science Fiction Stories 1800-1849,₹3759.0
Libertarianism for Beginners,₹5133.0
It's Only the Himalayas,₹4517.0
